study,stim,target_user,qlabel,targ_agg,s2m,targ_agg2
1,followers,13,impulsive,2.9,0,2.9
1,followers,13,intelligent,3.4,0,3.4
1,followers,13,lazy,3,0,3
1,followers,13,lazy_r,3,0,3
1,followers,13,nervous,2.7,0,2.7
1,followers,13,neu,2.611111111111111,0,2.611111111111111
1,followers,13,ope,3.4,0,3.4
1,followers,13,outgoing,3.9,0,3.9
1,followers,13,relaxed,3.3333333333333335,0,3.3333333333333335
1,followers,13,relaxed_r,2.6666666666666665,0,2.6666666666666665
1,followers,13,reserved,2.8,0,2.8
1,followers,13,reserved_r,3.2,0,3.2
1,followers,13,selfesteem,3,0,3
1,followers,13,ses,5.6,0,5.6
1,followers,13,thorough,3,0,3
1,followers,13,trusting,3.5,0,3.5
1,followers,13,trustworthy,3.3,0,3.3
1,followers,14,actimag,3.1,0,3.1
1,followers,14,age,22,0,22
1,followers,14,agr,3.35,0,3.35
1,followers,14,arrogant,3.7,0,3.7
1,followers,14,assertive,3.5,0,3.5
1,followers,14,attractive,3.2,0,3.2
1,followers,14,centerattn,4,0,4
1,followers,14,cold,3,0,3
1,followers,14,cold_r,3,0,3
1,followers,14,con,3,0,3
1,followers,14,ext,3.45,0,3.45
1,followers,14,fewartint,3.2,0,3.2
1,followers,14,fewartint_r,2.8,0,2.8
1,followers,14,funny,3.7,0,3.7
1,followers,14,ilike,3,0,3
1,followers,14,impulsive,3.3333333333333335,0,3.3333333333333335
1,followers,14,intelligent,3.2,0,3.2
1,followers,14,lazy,2.9,0,2.9
1,followers,14,lazy_r,3.1,0,3.1
1,followers,14,nervous,2.6,0,2.6
1,followers,14,neu,2.65,0,2.65
1,followers,14,ope,2.95,0,2.95
1,followers,14,outgoing,3.9,0,3.9
1,followers,14,relaxed,3.3,0,3.3
1,followers,14,relaxed_r,2.7,0,2.7
1,followers,14,reserved,2.4,0,2.4
1,followers,14,reserved_r,3.6,0,3.6
1,followers,14,selfesteem,3.4,0,3.4
1,followers,14,ses,5,0,5
1,followers,14,thorough,2.9,0,2.9
1,followers,14,trusting,3.1,0,3.1
1,followers,14,trustworthy,2.8,0,2.8
1,followers,15,actimag,3,0,3
1,followers,15,age,26.5,0,26.5
1,followers,15,agr,3.2,0,3.2
1,followers,15,arrogant,2.9,0,2.9
1,followers,15,assertive,2.7,0,2.7
1,followers,15,attractive,2.9,0,2.9
1,followers,15,centerattn,3.2,0,3.2
1,followers,15,cold,2.5,0,2.5
1,followers,15,cold_r,3.5,0,3.5
1,followers,15,con,3.2,0,3.2
1,followers,15,ext,3.45,0,3.45
1,followers,15,fewartint,3,0,3
1,followers,15,fewartint_r,3,0,3
1,followers,15,funny,3.4,0,3.4
1,followers,15,ilike,2.9,0,2.9
1,followers,15,impulsive,3.1,0,3.1
1,followers,15,intelligent,3,0,3
1,followers,15,lazy,2.5,0,2.5
1,followers,15,lazy_r,3.5,0,3.5
1,followers,15,nervous,3.2,0,3.2
1,followers,15,neu,3,0,3
1,followers,15,ope,3,0,3
1,followers,15,outgoing,3.4,0,3.4
1,followers,15,relaxed,3.2222222222222223,0,3.2222222222222223
1,followers,15,relaxed_r,2.7777777777777777,0,2.7777777777777777
1,followers,15,reserved,3.2,0,3.2
1,followers,15,reserved_r,2.8,0,2.8
1,followers,15,selfesteem,3.5,0,3.5
1,followers,15,ses,4.2,0,4.2
1,followers,15,thorough,2.9,0,2.9
1,followers,15,trusting,3.6,0,3.6
